id,name,description,no,element_id,rarity_id,base_hp,base_atk,base_def,base_rec,ls_id,bb_id,numhits,created_at,updated_at,slug,realname,cost,max_lvl,max_hp,max_atk,max_def,max_rec,a_hp,a_rec,b_atk,b_def,g_atk,g_def,o_hp,o_rec,sbb,sbb_hits,bb_refill,bb_hits,Leader Skill,Brave Burst,bb_type_id,Unit_Category_id
2,Fencer Vargas,,1,1,2,1030,500,410,320,,1,3,14:29.1,46:00.3,fencer-vargas,vargas,2,12,1948,700,574,448,2031,426,721,547,677,595,1872,470,,,,,Fire Spirit's Power,Flare Ride,1,26
5,Burning Vargas,,2,1,3,2517,917,806,702,,2,3,47:45.7,25:30.0,burning-vargas,Vargas,4,40,2517,917,806,702,2820,620,987,720,843,885,2221,768,,0,0,5,Fire Spirit's Power,Flare Ride Plus,1,26
6,Fire King Vargas,,3,1,4,3201,1130,1113,845,,3,4,47:45.7,25:30.1,fire-king-vargas,Vargas,8,60,3201,1130,1113,845,3608,723,1226,885,987,1111,2764,960,,0,0,6,Fire God's Power,Infinity Burst,1,26
7,Fire God Vargas,"An extremely powerful swordsman from the once strong Agni Empire, which now lays in ruins. As the battle with the gods began, he was at the front, cutting them down. His presence encouraged those terrified by the gods' strength, giving the humans a chance to counterattack. Continuing to lead the attack, Vargas, the savior of many, was counted as one of the Six Heroes and was feared by even the gods.",4,1,5,3917,1364,1230,1082,,4,6,47:45.7,04:55.1,fire-god-vargas,Vargas,10,80,3917,1364,1230,1082,4534,911,1532,1076,1202,1384,3298,1254,,0,0,6,Fire God's Power,Infinity Nova,1,26
8,Selena,,5,2,2,,,,,,5,2,47:45.7,13:46.3,selena,,2,12,,,,,,,,,,,,,,,,,Water Spirit's Power,Estreal Blade,1,26
9,Ice Selena,,6,2,3,2442,850,806,824,,6,2,47:45.7,25:30.2,ice-selena,Selena,4,40,2442,850,806,824,2728,746,996,656,842,815,2160,908,,0,0,5,Water Spirit's Power,Divine Hale,1,26
10,Ice Queen Selena,,7,2,4,3055,1170,901,1195,,7,4,47:45.7,25:30.2,ice-queen-selena,Selena,8,60,3055,1170,901,1195,3508,1079,1346,826,1052,1024,2612,1306,,0,0,7,Water God's Power,Blizzard Pain,1,26
11,Ice God Selena,"A swordswoman from the ruined Sama Kingdom. She is the savior of her kingdom, and one of the six heroes. During the great war she refused Sama Kingdom's call and led the Savat people to save the masses. Her sword, Lexida, showed its true power in response to her skill, cutting down the gods with a cold pale blue strike. She gave the people courage and terrified the gods.",8,2,5,3815,1355,1127,1461,,8,4,47:45.7,04:55.2,ice-god-selena,Selena,10,80,3815,1355,1127,1461,4396,1179,1513,966,1199,1290,3184,1630,,0,0,8,Water God's Power,Absolute Zero,1,26
12,Pikeman Lance,,9,6,2,,,,,,9,3,47:45.7,13:46.3,pikeman-lance,,2,12,,,,,,,,,,,,,,,,,Earth Spirit's Power,Flash Gale,1,26
13,Vine Pike Lance,,10,6,3,2500,924,938,454,,10,3,47:45.7,25:30.2,vine-pike-lance,Lance,4,40,2500,924,938,454,2806,378,1001,860,840,1012,2209,530,,0,0,5,Earth Spirit's Power,Flash Tornado,1,26
